rows,text,date,number,type
6,0,0,3,line
9,1,0,2,pyramid
1,1,0,5,column
10,2,0,1,column
58,1,1,1,stockLine
7,2,0,2,columnPacked
12,1,0,2,area
4,1,0,3,column
4,1,0,4,column
4,1,0,4,column
11,2,0,0,bar
1,1,0,5,column
5,1,0,1,column
6,2,0,2,columnPacked
34,1,0,0,line
4,1,0,4,line
13,1,0,3,dualAxis
10,1,0,0,barStacked
13,1,0,0,areaStacked
10,1,0,0,pie
24,1,0,0,areaStacked
2,1,0,0,pie
6,1,0,1,pie
4,1,0,3,column
21,0,0,1,line
19,1,0,1,areaStep
21,0,0,1,line
11,1,0,0,bar
37,4,0,0,grid
167,2,0,2,scatter
20,1,0,0,bar
27,1,0,1,barStacked
26,7,0,0,column
10,2,0,0,line
9,3,0,0,grid
6,4,0,0,grid
4,6,0,0,grid
5,3,0,0,grid
4,2,0,0,grid
1191,0,1,1,stockLine
11,2,0,0,grid
75,4,1,0,stockLine
18,4,0,0,grid
9,1,0,1,bar
20,0,0,4,grid
8,1,0,2,grid
4,1,0,4,column
6,3,0,0,grid
12,21,0,0,column
4,1,0,3,column
7,1,0,2,column
4,1,0,4,column
5,1,0,2,area
26,1,0,0,columnStacked
11,1,0,2,line
12,2,0,1,barPacked
7,1,0,2,bar
6,5,0,0,grid
1,1,0,6,pie
2,1,0,8,barStacked
4,1,0,55,line
47,1,0,1,columnPacked
5,1,0,2,columnPacked
13,1,0,2,columnPacked
8,1,0,6,line
13,1,0,4,columnStacked
22,1,0,3,columnStacked
43,1,0,1,line
30,2,0,6,columnStacked
1,1,0,6,pie
47,3,0,4,columnPacked
9,1,0,19,line
12,1,0,2,columnPacked
1,1,0,8,column
20,1,0,1,bar
2,1,0,7,column
146,1,0,2,scatter
10,1,0,1,barStacked
8,2,0,2,columnPacked
277,0,1,1,stockLine
14,3,0,3,columnStacked
3,1,0,5,column
13,1,0,2,barPacked
6,1,0,0,columnPacked
48,0,1,2,stockDualAxis
9,1,0,29,line
4,1,0,2,barStacked
1,1,0,6,column
12,1,0,2,dualAxis
75,1,1,1,stockLine
321,0,1,2,dualAxis
5,1,0,6,columnPacked
5,0,0,5,line
167,2,0,2,scatter
13,1,0,2,barPacked
23,3,0,1,grid
2,1,0,4,pie
847,0,1,1,stockLine
187,3,0,2,dualAxis
5,1,0,3,columnStacked
11,0,0,2,line
2,1,0,2,pie
121,0,1,1,stockLine
4,2,0,3,pie
24,1,0,4,dualAxis
66,0,1,7,stockLine
32,1,0,3,column
69,2,0,4,columnStacked
1,1,0,15,column
55,0,0,3,line
16,0,0,3,scatterLine
2,1,1,2,column
7,1,0,4,bar
10,2,0,0,grid
9,1,0,1,pie
6,1,0,1,column
3,3,0,0,grid
12,1,0,1,bar
6,4,0,0,grid
4,2,0,0,column
2,1,0,2,columnPacked
4,1,0,4,grid
320,0,1,2,stockLine
7,1,0,0,pie
3,1,0,2,columnPacked
4,1,0,4,column
2,1,0,1,pie
54,0,1,4,stockLine
4,1,0,4,stockDualAxis
4,1,0,4,stockDualAxis
4,1,0,4,stockDualAxis
18,1,0,2,pyramid
23,11,1,1,stockDualAxis
561,0,1,1,stockLine
7,1,0,1,columnPacked
8,1,0,4,line
2,1,0,8,bar
11,1,0,2,dualAxis
29,1,0,5,line
87,1,1,3,line
4,1,0,5,column
18,1,0,4,line
1,1,0,0,line
15,4,0,0,grid
141,0,0,0,line
819,0,1,1,line
13,3,0,5,grid
1,1,0,8,bar
6,1,0,2,bar
7,2,0,1,line
5,1,0,1,line
7,1,0,2,column
5,1,0,5,column
7,1,0,10,barStacked
19,0,0,2,dualAxis
22,1,0,2,line
1,1,0,7,pie
6,1,0,1,bar
4,1,0,3,column
7,1,0,2,line
2,1,0,4,column
6,1,0,2,line
6,1,0,2,line
4,1,0,4,line
36,3,0,0,grid
12,0,0,7,columnPacked
2609,0,1,1,stockLine
23,0,0,2,line
3679,1,0,0,pie
561,0,1,2,pie
553,1,0,2,pie
4,1,0,4,column
9,3,0,0,grid
7,1,0,1,pie
4,1,0,4,grid
167,0,1,1,stockLine
25,0,0,3,stockLine
21,1,0,0,bar
23,1,0,3,column
10,1,0,2,bar
6,1,0,2,dualAxis
45,0,0,0,line
4,1,0,4,line
7,1,0,1,pie
11,1,0,1,pie
1,1,0,9,bar
8,2,0,1,pyramid
23,1,0,2,scatterLine
2,1,0,2,column
25,1,0,3,line
4,1,0,4,column
11,1,0,1,column
3,1,0,18,columnPacked
10,1,0,0,column
6,1,0,3,column
11,1,0,0,column
12,1,0,1,line
6,2,0,2,dualAxis
7,1,0,1,columnPacked
10,1,0,1,bar
10,0,1,1,column
10,1,1,0,line
3,2,0,1,donut
7,2,0,1,columnPacked
13,1,0,1,column
10,3,0,0,columnPacked
8,0,0,2,line
16,1,0,2,grid
7,1,0,6,column
4,1,0,7,columnStacked
65,0,1,5,stockLine
324,0,1,1,stockLine
3,2,0,2,column
16,1,0,2,grid
6,1,0,2,columnPacked
5,1,0,4,barStacked
65,0,1,5,stockLine
18,0,0,4,line
9,1,0,2,line
17,1,0,1,line
16,3,0,0,grid
10,2,0,0,grid
9,6,0,0,grid
3,1,0,6,barStacked
10,1,0,0,grid
12,1,0,2,columnStacked
4,1,0,4,column
4,0,0,7,line
13,1,0,5,line
21,0,1,3,line
7,1,0,3,barPacked
13,2,0,1,grid
42,0,0,0,areaStep
31,0,0,0,column
4,1,0,2,pie
4,1,0,4,column
4,1,0,4,column
4,1,0,4,column
4,1,0,4,column
16,2,0,3,grid
10,3,0,0,grid
4,1,0,4,pyramid
22,4,0,0,grid
23,4,0,0,grid
8,1,0,1,column
2,1,0,1,pie
100,0,0,0,dualAxis
4,1,0,4,column
4,1,0,4,column
48,1,0,0,line
840,0,1,1,stockLine
4,1,0,4,column
78,0,1,1,stockLine
4,1,0,4,column
121,0,1,1,stockLine
5,1,0,4,pie
5,1,0,4,pie
5,1,0,4,pie
5,1,0,4,pie
4,2,0,0,grid
22,0,0,2,line
2,1,0,2,columnPacked
13,1,0,1,bar
4,1,0,4,column
5,1,0,5,line
50,1,0,2,scatter
50,1,0,2,scatter
1,1,0,0,bar
50,1,0,2,scatter
38,1,0,2,scatter
50,1,0,2,scatter
50,1,0,2,scatter
9,1,0,1,column
42,1,0,1,column
2,1,0,2,column
81,0,0,0,line
7,6,0,0,grid
6,4,0,0,grid
7,1,0,1,pie
7,1,0,2,column
3,1,0,2,column
10,1,0,1,grid
3,1,0,1,pie
6,1,0,2,column
2,1,0,4,column
69,1,0,0,line
1,1,0,7,column
8,1,0,2,column
5,1,0,2,column
