rows,text,date,number,type
24,1,0,0,2
2,1,0,0,16
6,1,0,1,16
4,1,0,3,8
21,0,0,1,14
19,1,0,1,3
21,0,0,1,14
11,1,0,0,4
37,4,0,0,13
167,2,0,2,18
20,1,0,0,4
27,1,0,1,6
26,7,0,0,8
10,2,0,0,14
9,3,0,0,13
6,4,0,0,13
4,6,0,0,13
5,3,0,0,13
4,2,0,0,13
1191,0,1,1,24
11,2,0,0,13
75,4,1,0,24
18,4,0,0,13
9,1,0,1,4
20,0,0,4,13
8,1,0,2,13
4,1,0,4,8
6,3,0,0,13
12,21,0,0,8
4,1,0,3,8
7,1,0,2,8
4,1,0,4,8
5,1,0,2,1
26,1,0,0,10
11,1,0,2,14
12,2,0,1,5
7,1,0,2,4
6,5,0,0,13
1,1,0,6,16
2,1,0,8,6
4,1,0,55,14
47,1,0,1,9
5,1,0,2,9
13,1,0,2,9
8,1,0,6,14
13,1,0,4,10
22,1,0,3,10
43,1,0,1,14
30,2,0,6,10
1,1,0,6,16
47,3,0,4,9
9,1,0,19,14
12,1,0,2,9
1,1,0,8,8
20,1,0,1,4
2,1,0,7,8
146,1,0,2,18
10,1,0,1,6
8,2,0,2,9
277,0,1,1,24
14,3,0,3,10
3,1,0,5,8
13,1,0,2,5
6,1,0,0,9
48,0,1,2,23
9,1,0,29,14
4,1,0,2,6
1,1,0,6,8
12,1,0,2,12
75,1,1,1,24
321,0,1,2,12
5,1,0,6,9
5,0,0,5,14
167,2,0,2,18
13,1,0,2,5
23,3,0,1,13
2,1,0,4,16
847,0,1,1,24
187,3,0,2,12
5,1,0,3,10
11,0,0,2,14
2,1,0,2,16
121,0,1,1,24
4,2,0,3,16
24,1,0,4,12
66,0,1,7,24
32,1,0,3,8
69,2,0,4,10
1,1,0,15,8
55,0,0,3,14
16,0,0,3,19
2,1,1,2,8
7,1,0,4,4
10,2,0,0,13
9,1,0,1,16
6,1,0,1,8
3,3,0,0,13
12,1,0,1,4
6,4,0,0,13
4,2,0,0,8
2,1,0,2,9
4,1,0,4,13
320,0,1,2,24
7,1,0,0,16
3,1,0,2,9
4,1,0,4,8
2,1,0,1,16
54,0,1,4,24
4,1,0,4,23
4,1,0,4,23
4,1,0,4,23
18,1,0,2,17
23,11,1,1,23
561,0,1,1,24
7,1,0,1,9
8,1,0,4,14
2,1,0,8,4
11,1,0,2,12
29,1,0,5,14
87,1,1,3,14
4,1,0,5,8
18,1,0,4,14
1,1,0,0,14
15,4,0,0,13
141,0,0,0,14
819,0,1,1,14
13,3,0,5,13
1,1,0,8,4
6,1,0,2,4
7,2,0,1,14
5,1,0,1,14
7,1,0,2,8
5,1,0,5,8
7,1,0,10,6
19,0,0,2,12
22,1,0,2,14
1,1,0,7,16
6,1,0,1,4
4,1,0,3,8
7,1,0,2,14
2,1,0,4,8
6,1,0,2,14
6,1,0,2,14
4,1,0,4,14
